# Tube Screamer — Drive max, Tone 1 o'clock, Level 3:00 (~80%). -2.2 dB re Level-max.
Frequency (Hz)	Channel 1 Magnitude (dB)
20	-9.02693671942
20.942570961	-8.77024103219
21.9295639229	-8.56025297552
22.9630724299	-8.37513652241
24.0452886923	-8.20791500813
25.1785082359	-8.05886621966
26.3651347711	-7.91921957288
27.6076852921	-7.79288884563
28.9087954149	-7.67652033621
30.2712249687	-7.57410264642
31.6978638492	-7.48627883791
33.1917381488	-7.40845097436
34.756016575	-7.33263779496
36.3940171722	-7.26180447189
38.1092143593	-7.1996835664
39.9052462994	-7.1387317291
41.7859226171	-7.08500323174
43.755232479	-7.03354575754
45.8173530554	-6.98294188671
47.9766583804	-6.93608868496
50.2377286302	-6.8927325357
52.6053598379	-6.84968718204
55.0845740668	-6.81272877905
57.6806300625	-6.77417274341
60.399034408	-6.73609113668
63.2455532034	-6.69781770101
66.2262242965	-6.66192383463
69.3473700905	-6.62526746302
72.615610954	-6.59083743431
76.0378792641	-6.5549155124
79.6214341107	-6.52022246991
83.3738766941	-6.48443703238
87.303166448	-6.45102728926
91.417637923	-6.41874565579
95.7260184645	-6.38752708968
100.237446725	-6.35838557342
104.96149205	-6.32734324284
109.908174772	-6.29953544618
115.087987467	-6.27178573974
120.511917215	-6.24408320036
126.191468896	-6.21874972704
132.138689602	-6.19083868755
138.366194184	-6.16456732585
144.887192015	-6.13854260046
151.715515006	-6.11196584218
158.865646945	-6.08533454616
166.352754221	-6.06161496631
174.192717991	-6.03311568242
182.402167871	-6.01073979425
190.998517204	-5.99013653214
200	-5.96454128173
209.42570961	-5.94081857535
219.295639229	-5.91604798187
229.630724299	-5.89445914411
240.452886923	-5.8722673841
251.785082359	-5.85304605996
263.651347711	-5.83589963868
276.076852921	-5.82305016291
289.087954149	-5.81268373157
302.712249687	-5.80849004381
316.978638492	-5.80986137172
331.917381488	-5.8173095402
347.56016575	-5.83325223845
363.940171722	-5.85690325142
381.092143593	-5.89598420414
399.052462994	-5.95285259766
417.859226171	-6.01883217458
437.55232479	-6.09128376304
458.173530554	-6.17501467836
479.766583804	-6.2654634664
502.377286302	-6.36419878901
526.053598379	-6.46988033509
550.845740668	-6.58603557051
576.806300625	-6.71538653094
603.99034408	-6.84848719087
632.455532034	-6.9930792747
662.262242965	-7.14908849289
693.473700905	-7.31404062841
726.15610954	-7.48828132745
760.378792641	-7.67388892704
796.214341107	-7.86766971765
833.738766941	-8.07399835425
873.03166448	-8.29012669845
914.17637923	-8.51368213184
957.260184645	-8.74725533024
1002.37446725	-8.99222461185
1049.6149205	-9.24546773853
1099.08174772	-9.51031363146
1150.87987467	-9.78079452752
1205.11917215	-10.0532329245
1261.91468896	-10.3425520294
1321.38689602	-10.6390183841
1383.66194184	-10.9411558066
1448.87192015	-11.2488590725
1517.15515006	-11.5662338323
1588.65646945	-11.8866200655
1663.52754221	-12.2176073575
1741.92717991	-12.5442108483
1824.02167871	-12.8797928468
1909.98517204	-13.2238110236
2000	-13.5735596171
2094.2570961	-13.9240015923
2192.95639229	-14.2762724796
2296.30724299	-14.6338111418
2404.52886923	-14.9978368749
2517.85082359	-15.365548539
2636.51347711	-15.7464160406
2760.76852921	-16.1024447972
2890.87954149	-16.481618765
3027.12249687	-16.8553579749
3169.78638492	-17.2298132742
3319.17381488	-17.6082585791
3475.6016575	-18.0072363585
3639.40171722	-18.3673147693
3810.92143593	-18.7562676335
3990.52462994	-19.1447212389
4178.59226171	-19.5434805488
4375.5232479	-19.9408770968
4581.73530554	-20.3366729124
4797.66583804	-20.729234828
5023.77286302	-21.1296607108
5260.53598379	-21.5409537902
5508.45740668	-21.9387397242
5768.06300625	-22.3343311793
6039.9034408	-22.7165686229
6324.55532034	-23.1292772522
6622.62242965	-23.5356458706
6934.73700905	-23.9314378598
7261.5610954	-24.3362378678
7603.78792641	-24.7515440098
7962.14341107	-25.1538941661
8337.38766941	-25.552244853
8730.3166448	-25.9629691266
9141.7637923	-26.4143544956
9572.60184645	-26.7987614057
10023.7446725	-27.2372564004
10496.149205	-27.6564296843
10990.8174772	-28.0895912832
11508.7987467	-28.5175643303
12051.1917215	-28.9139039971
12619.1468896	-29.3518868899
13213.8689602	-29.769313215
13836.6194184	-30.1989613056
14488.7192015	-30.6739751537
15171.5515006	-31.0968426853
15886.5646945	-31.5862365727
16635.2754221	-31.9910835104
17419.2717991	-32.4666042896
18240.2167871	-32.9148921382
19099.8517204	-33.3771818087
20000	-33.8491676122
